id,publicId,gid,displayName,name_thai,name_english,lat,lng,zipcode,categories,primary_category,is_likely_food,default_photo_url,detail_url,atc_match_count,atc_has_match,atc_top_advertiser,atc_top_advertiser_id,atc_advertiser_url,atc_check_status
640688,640688Vq,09VxFaGtGqwNr6Q1nbH75ILas2VQfD,Café Amazon - SD2457 ตึกแถวตรงข้าม รพ.กุมภวาปี,คาเฟ่ อเมซอน - SD2457,Café Amazon - SD2457,17.106145587011532,103.0189157786347,41110,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2026/05/29/19af7d0add964228a3f1a3efcb7f0af0.jpg,https://www.wongnai.com/restaurants/640688Vq,0,0,,,,ok
251829,251829pw,09VwpBTRUfliPNH7Cz5uqZ0DRxJu8L,กาแฟดอยช้าง ณ บ้านผือ,กาแฟดอยช้าง ณ บ้านผือ,DOICHAANG @ BANPHUE,17.6894358,102.4753939,41160,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2016/11/03/106dd7d203824020b01943f9eb8426aa.jpg,https://www.wongnai.com/restaurants/251829pw,0,0,,,,ok
2826804,2826804Py,09VyFdRrzV23zae3E905VNprQX9MBF,เชลลี่คาเฟ่ - Shelly Cafe,,,17.6891788,102.4754584,41160,คาเฟ่|เบเกอรี/เค้ก,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/12/15/d3d93aa9c1244b0c99f3c96ae461825d.jpg,https://www.wongnai.com/restaurants/2826804Py,0,0,,,,ok
3154936,3154936yH,09VyRWECIrz1vD2UIjXEPajBliAB3V,GODFATHER UDON,,,17.4294081,102.989615,,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/08/29/0931d30f3642453582d8c996b526a6c5.jpg,https://www.wongnai.com/restaurants/3154936yH,0,0,,,,ok
3586032,3586032UE,09Vye2ISmyIV8DIvRN6LNffXZRMJKr,เฮียอั๋นต้มเลือดหมู,,,16.998426,102.89183,,ก๋วยเตี๋ยว|อาหารตามสั่ง,ก๋วยเตี๋ยว,1,https://img.wongnai.com/p/_-x_/2025/12/22/d4a1271bdfa04fe8b9dc6fa7e1177c4f.jpg,https://www.wongnai.com/restaurants/3586032UE,0,0,,,,ok
233029,233029ta,09VwpBTRUmAp0WSEkSunj2V7sNrEkw,แหนมเนืองนายช่าง,แหนมเนืองนายช่าง,Namnuang Naiichang,17.069062,102.926373,41370,อาหารเวียดนาม,อาหารเวียดนาม,1,https://img.wongnai.com/p/_-x_/2017/11/22/28ced1b5dda342998f4d9802e2d8d0a6.jpg,https://www.wongnai.com/restaurants/233029ta,0,0,,,,ok
342037,342037oh,09VwpBTRY0tW6Cvu7ubHSwUbgBg0Ih,ทะเลบัวแดง,,,17.2123791,103.03447000000006,,อุทยานและธรรมชาติ|จุดชมวิว,อุทยานและธรรมชาติ,1,https://img.wongnai.com/p/_-x_/2019/08/06/89611db051b249b7ae94fe94722660de.jpg,https://www.wongnai.com/restaurants/342037oh,0,0,,,,ok
2271804,2271804qj,09VxwH18oGMA0bm24G8HBf3sH2j5sf,Five Star โลตัสโกเฟรช พันดอน,ห้าดาว,Five Star,17.12997661,102.9625527,41370,ปิ้งย่าง|สตรีทฟู้ด/รถเข็น,ปิ้งย่าง,1,https://img.wongnai.com/p/_-x_/deleted/2023/02/16/e8c7bffe55c843a88b8d39bffab523f8.jpg,https://www.wongnai.com/restaurants/2271804qj,0,0,,,,ok
1307841,1307841rV,09VxYtqRMTtpYs8kDgwEUgrVlHhS6L,วัดภูตะเภาทอง,วัดภูตะเภาทอง,Phu Taphao Thong Temple,17.032457,102.664631,,ภูเขา|อุทยานและธรรมชาติ|วัด,ภูเขา,1,https://img.wongnai.com/p/_-x_/2021/12/02/8d6131f9fde04282a2dca0fa81554567.jpg,https://www.wongnai.com/restaurants/1307841rV,0,0,,,,ok
1449954,1449954Xi,09VxcRhcccmlKioiw1T09VgAHZPK31,S.iri cafe,S.iri cafe,,17.6968316,103.2568855,,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2022/02/24/0d265cffd64d4e2fbe095701f77282d3.jpg,https://www.wongnai.com/restaurants/1449954Xi,0,0,,,,ok
